Time,Horizon,Vectical
0.01,52.259998,8.28
0.01,27.839997,11.65
0.01,3.33,12.010001
0.01,-21.54,10.740001
0.01,-45.649997,7.230001
0.01,52.05,8.24
0.01,27.630001,11.64
0.01,3.12,12.009999
0.01,-21.749999,10.740001
0.01,-45.870001,7.259999
0.01,51.840002,8.21
0.01,27.42,11.6
0.01,2.93,12.009999
0.01,-21.940003,10.75
0.01,-46.079999,7.29
0.01,51.65,8.2
0.01,27.21,11.58
0.01,2.71,12.009998
0.01,-22.149999,10.749999
0.01,-46.270001,7.319999
0.01,51.419995,8.16
0.01,27.000001,11.56
0.01,2.52,12
0.01,-22.379998,10.8
0.01,-46.499996,7.35
0.01,51.229998,8.13
0.01,26.799999,11.540001
0.01,2.31,12
0.01,-22.579998,10.8
0.01,-46.709999,7.38
0.01,51.019995,8.099999
0.01,26.590001,11.52
0.01,2.11,12.02
0.01,-22.789999,10.809999
0.01,-46.919997,7.399999
0.01,50.809997,8.08
0.01,26.38,11.499999
0.01,1.9,12.02
0.01,-22.979998,10.84
0.01,-47.13,7.429999
0.01,50.589998,8.039999
0.01,26.169999,11.459999
0.01,1.67,12.02
0.01,-23.189999,10.839998
0.01,-47.339999,7.449999
0.01,50.38,8.01
0.01,25.959998,11.44
0.01,1.47,12.019999
0.01,-23.4,10.86
0.01,-47.550002,7.479999
0.01,50.170002,7.99
0.01,25.75,11.42
0.01,1.26,12.02
0.01,-23.609998,10.889999
0.01,-47.769996,7.510001
0.01,49.959998,7.96
0.01,25.539999,11.4
0.01,1.05,12.019999
0.01,-23.810003,10.89
0.01,-47.979999,7.540001
0.01,49.770001,7.929999
0.01,25.35,11.38
0.01,0.87,12.039999
0.01,-24.019999,10.9
0.01,-48.189997,7.559999
0.01,49.559998,7.9
0.01,25.139999,11.34
0.01,0.64,12.04
0.01,-24.23,10.92
0.01,-48.399995,7.580001
0.01,49.35,7.87
0.01,24.940002,11.320001
0.01,0.45,12.019999
0.01,-24.44,10.940002
0.01,-48.609994,7.610001
0.01,49.11,7.82
0.01,24.71,11.300001
0.01,0.23,12.010001
0.01,-24.659999,10.95
0.01,-48.839998,7.64
0.01,48.939999,7.81
0.01,24.539999,11.28
